iter	Logloss
0	0.5947006779
1	0.524675815
2	0.4659497303
3	0.4198454855
4	0.3813549106
5	0.3460443901
6	0.3193401366
7	0.2964913477
8	0.270782297
9	0.2471596141
10	0.2271182979
11	0.2142986176
12	0.201453238
13	0.1867881549
14	0.1798205722
15	0.1704417657
16	0.1644093422
17	0.1573165484
18	0.14851115
19	0.143473914
20	0.1348648223
21	0.1276451004
22	0.1224034352
23	0.1177732825
24	0.1118626841
25	0.1083570235
26	0.1029814112
27	0.09994645914
28	0.09647656543
29	0.09331774172
30	0.08954919971
31	0.08743896266
32	0.08406972137
33	0.08217236997
34	0.07979607163
35	0.07734282353
36	0.07572476502
37	0.07347930326
38	0.07135122236
39	0.06980617715
40	0.06824628284
41	0.0658863002
42	0.06458414116
43	0.06313859257
44	0.06168202549
45	0.06041073596
46	0.05949618327
47	0.05832613911
48	0.05697804756
49	0.05618432957
50	0.05463180824
51	0.05427413905
52	0.05260586484
53	0.05247273167
54	0.05159386132
55	0.05020535058
56	0.04972031101
57	0.04941177775
58	0.04869891935
59	0.04848338005
60	0.04704165777
61	0.04661058685
62	0.04553397826
63	0.04502444931
64	0.04463171302
65	0.04392375067
66	0.04323227473
67	0.04298485159
68	0.04236906386
69	0.04216730473
70	0.04151110574
71	0.04081584961
72	0.04021629164
73	0.03974667691
74	0.0394003603
75	0.03866028244
76	0.03794231175
77	0.03763150906
78	0.03685847272
79	0.03669281435
80	0.03622056451
81	0.03594876259
82	0.03545814397
83	0.0352197699
84	0.03478861467
85	0.03465605449
86	0.03457181674
87	0.0341179179
88	0.03362853617
89	0.03321730424
90	0.03283749513
91	0.03277500381
92	0.03235993338
93	0.03172913215
94	0.03163956174
95	0.03160426853
96	0.03125415621
97	0.03097144511
98	0.03082887565
99	0.03057515968
100	0.03021869549
101	0.02982383261
102	0.02942199742
103	0.02922972074
104	0.02879024301
105	0.02837613919
106	0.02812175478
107	0.0278337672
108	0.02727577789
109	0.0269382805
110	0.02682777412
111	0.02670879858
112	0.02652740118
113	0.02647239072
114	0.02619376931
115	0.0261167814
116	0.0260535662
117	0.02577654246
118	0.02565067354
119	0.02557153045
120	0.02529093464
121	0.0249412634
122	0.02475614576
123	0.0243017971
124	0.02404830504
125	0.02388458226
126	0.02351322467
127	0.02294182123
128	0.02265185449
129	0.02259819931
130	0.02243928999
131	0.02230079088
132	0.02227568679
133	0.02206123086
134	0.02188799429
135	0.02160601359
136	0.02130031425
137	0.02118833371
138	0.02101106367
139	0.02095559719
140	0.02076205027
141	0.02067863131
142	0.02064005992
143	0.02045920943
144	0.02032270284
145	0.02023263587
146	0.01994671304
147	0.01964702484
148	0.01955717988
149	0.01923297716
